youtube_id,kol_nickname,subscriber,kol_player_num,kol_country,kol_interact_rate,kol_player_num_mean,price,kol_wotokol_score
967,Zukreat,0,37022843,美国,4,0,￥0.00-0.00,3
1029,,0,0,美国,0,0,￥0.00-0.00,2
1174,,0,0,美国,6,0,￥64790.00-85523.00,4
1677,,0,0,美国,0,0,￥0.00-0.00,2
2022,,0,0,美国,1,0,￥48800.00-63928.00,3
2823,Teni Panosian,0,86755152,美国,5,57523,￥108000.00-143640.00,4
3595,Yulia Ricardez,0,241605,美国,16,0,￥0.00-0.00,5
4742,,0,0,美国,0,0,￥0.00-0.00,2
5897,,0,0,美国,0,6843,￥0.00-0.00,2
6017,Jacques Slade,0,194432182,美国,2,79867,￥0.00-0.00,3
8057,Melissa Raymond,0,36788581,美国,8,0,￥0.00-0.00,4
8125,RoxyRocksTV,0,108020626,美国,12,8822,￥67260.00-86766.00,5
8701,,0,0,美国,0,0,￥0.00-0.00,2
8916,,0,0,美国,10,8398,￥21300.00-28329.00,4
9457,BUPBE INC love & faith,0,9679494,美国,5,0,￥16800.00-21840.00,3
10333,Oshi Poshi,0,5661,美国,7,593,￥0.00-0.00,4
10368,Taylor & Vanessa,0,242131019,美国,5,148642,￥93575.00-122584.00,3
11897,Erin Ross,0,7425746,美国,10,1439,￥0.00-0.00,4
12389,,0,0,美国,8,105070,￥62795.00-83518.00,4
63002,Onika Latoya,0,4741328,美国,5,802,￥4610.00-6040.00,4
134339,,0,0,美国,1,62989,￥11800.00-15576.00,3
90403,Acoustic Music Collection,0,18242750,美国,2,36523,￥23010.00-30374.00,2
157766,,0,0,美国,9,3081,￥12200.00-15738.00,4
93666,MrKongsMom,0,9896009,美国,1,1910,￥3640.00-4769.00,3
204345,Tuğçe Ay,0,44838152,美国,9,27601,￥31600.00-41080.00,4
154873,For You,0,0,美国,6,17248,￥29300.00-38383.00,4
201782,Easy Drawing Zone,0,3478,美国,2,36485,￥9530.00-12485.00,3
128120,,0,0,美国,4,30462,￥2680.00-3511.00,4
137183,,0,0,美国,4,15449,￥4530.00-5844.00,3
158239,,0,0,美国,12,9711,￥14500.00-19285.00,4
217608,Inspírate Conmigo,0,4549998,美国,2,3663,￥1744.00-2268.00,2
147285,,0,0,美国,0,4499,￥0.00-0.00,2
190983,,0,0,美国,2,1932954,￥884700.00-1167804.00,4
173177,,0,0,美国,2,34977,￥258570.00-338727.00,4
87108,Sophie Koko,0,1555623,美国,6,7414,￥2440.00-3246.00,4
107483,Magic Club,0,82403145,美国,1,77604,￥134100.00-178353.00,4
225039,,0,0,美国,4,1797,￥491.00-639.00,4
101291,ABC TV,0,67852701,美国,5,2280,￥33000.00-43560.00,4
115819,RaisingHalo,0,6378732,美国,9,4961,￥6560.00-8725.00,4
228974,Farms and Farmers BD,0,12297662,美国,4,14476,￥3390.00-4441.00,4
134564,,0,0,美国,0,19346,￥0.00-0.00,2
201432,Raouf Ganda,0,9899,美国,3,68511,￥12500.00-16375.00,3
76203,Ascended Stars,0,2120875,美国,5,1079,￥2100.00-2793.00,4
153192,Playlist US-UK Music - CEP,0,19332447,美国,2,6483,￥10700.00-14017.00,2
140400,,0,0,美国,0,4725,￥37100.00-48972.00,2
74862,Candace Hampton,0,3993884,美国,4,2783,￥2800.00-3724.00,4
228190,,0,0,美国,0,12682,￥0.00-0.00,4
105752,It\'sMeNeisha,0,2697673,美国,13,2610,￥4810.00-6398.00,4
176713,,0,0,美国,7,3675,￥4360.00-5799.00,4
220033,,0,0,美国,11,13939,￥11200.00-14672.00,1
188535,Lukey,0,3876759,美国,11,3640,￥2510.00-3263.00,1
199580,Adrienne Show,0,7751142,美国,2,3007,￥9550.00-12702.00,3
201269,,0,0,美国,0,50989,￥0.00-0.00,2
172953,,0,0,美国,2,19232,￥13500.00-17955.00,3
146308,,0,0,美国,0,5482,￥0.00-0.00,2
159615,فلوميديا - FlowMedia,0,0,美国,3,13427,￥72390.00-95555.00,3
136585,,0,0,美国,1,9848,￥83980.00-111694.00,3
220248,Chloe\'s Crazy Life,0,1790909,美国,14,1555,￥2600.00-3380.00,4
112740,Pretty HQS,0,31169911,美国,3,26215,￥9700.00-12610.00,3
181889,ItsYourGirlTinu,0,2314377,美国,13,2045,￥2130.00-2791.00,4
217147,Latest Tech,0,202536124,美国,0,28354,￥90897.00-119985.00,2
229372,Amandinha Freitas,0,7332536,美国,17,3392,￥3660.00-4795.00,4
235138,Towel folding tutorial,0,9334393,美国,0,6711,￥4480.00-5914.00,2
165104,Vivian Mivu,0,0,美国,0,8287,￥0.00-0.00,2
120717,Crystal Ezeoke,0,4372701,美国,1,3543,￥4850.00-6451.00,3
83712,,0,0,美国,3,63380,￥26400.00-34056.00,3
126987,,0,0,美国,4,66765,￥2420.00-3171.00,3
166203,NYT Conferences [INACTIVE],0,383316,美国,3,53446,￥3640.00-4696.00,3
139043,,0,0,美国,0,1460,￥0.00-0.00,2
111488,,0,0,美国,0,9761,￥0.00-0.00,2
190132,,0,0,美国,4,27792,￥22000.00-28380.00,3
201402,,0,0,美国,0,19587,￥0.00-0.00,2
222737,,0,0,美国,7,2856,￥3060.00-4040.00,4
95634,,0,0,美国,1,5809,￥2300.00-2967.00,3
138869,June Kravic,0,10931,美国,0,3835,￥11600.00-15080.00,2
182200,STRAY PAWS,0,121117785,美国,9,16748,￥6290.00-8303.00,4
184068,Peyton Maree Charles,0,4619729,美国,7,4153,￥4700.00-6110.00,4
108145,Josiphia Rizado French,0,8745881,美国,8,4977,￥5290.00-6983.00,4
162620,SIMPLE DECOR IDEAS,0,10412077,美国,3,12102,￥5880.00-7762.00,3
121215,Restoration & Making,0,18958143,美国,3,242229,￥137344.00-181295.00,3
109210,,0,0,美国,2,40047,￥10000.00-12900.00,2
180199,,0,0,美国,2,270208,￥32100.00-42693.00,3
154492,,0,0,美国,1,40756,￥3300.00-4389.00,3
209583,,0,0,美国,4,87448,￥5970.00-7702.00,3
73898,,0,0,美国,2,2660,￥2460.00-3198.00,2
137845,World Review,0,71892028,美国,0,335074,￥8359.00-11118.00,2
78556,Restoration Restore,0,70778107,美国,3,1695614,￥39520.00-51376.00,3
221617,,0,0,美国,4,350256,￥32100.00-42693.00,3
131716,,0,0,美国,0,63806,￥18800.00-24816.00,2
160423,,0,0,美国,1,13252,￥5220.00-6943.00,3
164655,,0,0,美国,6,341433,￥148182.00-197083.00,4
132113,Creative Creek,0,5984043,美国,8,6564,￥17000.00-22100.00,4
76556,SweetieSnacker,0,9465809,美国,0,13194,￥0.00-0.00,2
209348,,0,0,美国,2,14909,￥8500.00-11050.00,2
233971,Sakina El moden,0,40558132,美国,11,25138,￥36800.00-47472.00,5
198973,Mrs. Cakes,0,5843,美国,3,28783,￥71155.00-93925.00,3
236081,Star Vlog,0,48743840,美国,2,18537,￥7590.00-10019.00,2
87793,YPD New World RELAX,0,64346802,美国,2,44331,￥4260.00-5538.00,2
106388,Nail Share,0,10000484,美国,2,1699,￥10300.00-13596.00,2
227071,How To DIY,0,22040608,美国,3,4911,￥2990.00-3917.00,3
232224,,0,0,美国,0,17311,￥0.00-0.00,2
216908,Life In USA,0,36036792,美国,2,4739,￥10600.00-13780.00,3
169134,FIMEARSCARBA By Lumy Nitsa,0,8509587,美国,4,11300,￥7650.00-9945.00,2
100077,,0,0,美国,0,5702,￥0.00-0.00,2
122158,,0,0,美国,0,3279,￥0.00-0.00,2
96049,Sunshine Abuwi -SunshineLovesPeace,0,3619629,美国,10,3037,￥3110.00-4137.00,4
181192,,0,0,美国,0,4113,￥0.00-0.00,2
128467,Astro Hernandez,19600,0,美国,6,1486,￥2010.00-2674.00,4
195429,heartrayna,19600,1177267,美国,8,1039,￥2020.00-2687.00,4
11546,Claire Green,19800,41200,美国,2,0,￥2030.00-2660.00,2
